;;HC Oceláři Třinec;4;"PÁ 20. 11.
(1:0, 0:1, 3:1)";2;"
HC VERVA Litvínov";
;;BK Mladá Boleslav;4;"PÁ 20. 11.
(3:2, 0:0, 1:0)";2;"
HC VÍTKOVICE STEEL";
;;PSG Zlín;3;"PÁ 20. 11.
(0:0, 1:5, 2:0)";5;"
HC Energie Karlovy Vary";
;;HC Škoda Plzeň;3;"PÁ 20. 11.
(2:1, 1:1, 0:1 - 0:0 - 0:1)";4;"S
Mountfield HK";
;;Piráti Chomutov;3;"PÁ 20. 11.
(1:0, 0:2, 1:0 - 1:0)";2;"
Bílí Tygři Liberec";
;;HC Dynamo Pardubice;4;"PÁ 20. 11.
(1:2, 0:1, 2:0 - 0:0 - 1:0)";3;"S
HC Olomouc";
;;HC Sparta Praha;9;"ÚT 19. 01.
(6:0, 1:2, 2:1)";3;"
HC Kometa Brno";
;"22. kolo
";;;;;;
;;HC Energie Karlovy Vary;1;"NE 22. 11.
(0:0, 1:0, 0:2)";2;"
HC Olomouc";
;;HC Kometa Brno;3;"NE 22. 11.
(2:0, 1:0, 0:2)";2;"
HC Oceláři Třinec";
;;HC VERVA Litvínov;3;"NE 22. 11.
(2:0, 0:1, 0:1 - 0:0 - 1:0)";2;"S
Piráti Chomutov";
;;HC Škoda Plzeň;2;"NE 22. 11.
(0:0, 0:1, 2:3)";4;"
HC Sparta Praha";
;;Bílí Tygři Liberec;2;"NE 22. 11.
(2:0, 0:0, 0:1)";1;"
HC Dynamo Pardubice";
;;Mountfield HK;1;"NE 22. 11.
(0:1, 1:0, 0:0 - 0:0 - 0:1)";2;"S
BK Mladá Boleslav";
;;HC VÍTKOVICE STEEL;3;"ÚT 24. 11.
(1:1, 1:0, 0:1 - 0:0 - 1:0)";2;"S
PSG Zlín";
;"23. kolo
";;;;;;
;;HC Dynamo Pardubice;3;"ÚT 24. 11.
(2:0, 0:2, 1:1 - 0:0 - 0:1)";4;"S
HC VERVA Litvínov";
;;HC Oceláři Třinec;4;"PÁ 27. 11.
(2:0, 1:2, 1:0)";2;"
HC Sparta Praha";
;;HC Olomouc;2;"PÁ 27. 11.
(0:0, 0:0, 2:1)";1;"
Bílí Tygři Liberec";
;;PSG Zlín;2;"PÁ 27. 11.
(0:0, 2:0, 0:1)";1;"
Mountfield HK";
;;Piráti Chomutov;4;"PÁ 27. 11.
(1:0, 1:1, 2:1)";2;"
HC Kometa Brno";
;;BK Mladá Boleslav;7;"PÁ 27. 11.
(4:0, 2:4, 0:2 - 0:0 - 1:0)";6;"S
HC Škoda Plzeň";
;;HC Energie Karlovy Vary;1;"PÁ 27. 11.
(1:2, 0:0, 0:1)";3;"
HC VÍTKOVICE STEEL";
;"24. kolo
";;;;;;
;;HC VERVA Litvínov;1;"NE 29. 11.
(0:1, 0:1, 1:2)";4;"
HC Energie Karlovy Vary";
;;HC VÍTKOVICE STEEL;4;"NE 29. 11.
(1:0, 1:0, 2:0)";0;"
HC Olomouc";
;;Bílí Tygři Liberec;5;"NE 29. 11.
(1:0, 3:0, 1:1)";1;"
PSG Zlín";
;;Mountfield HK;2;"NE 29. 11.
(0:1, 2:2, 0:1)";4;"
Piráti Chomutov";
;;HC Sparta Praha;3;"NE 29. 11.
(0:0, 1:0, 2:0)";0;"
HC Dynamo Pardubice";
;;HC Škoda Plzeň;3;"NE 29. 11.
(1:0, 1:1, 0:1 - 0:0 - 1:0)";2;"S
HC Oceláři Třinec";
;;HC Kometa Brno;3;"ÚT 01. 12.
(1:0, 2:0, 0:0)";0;"
BK Mladá Boleslav";
;"25. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;1;"PÁ 04. 12.
(0:1, 0:0, 1:2)";3;"
Bílí Tygři Liberec";
;;HC Olomouc;3;"PÁ 04. 12.
(2:0, 0:0, 1:0)";0;"
HC VERVA Litvínov";
;;PSG Zlín;4;"PÁ 04. 12.
(2:1, 0:0, 2:1)";2;"
HC Škoda Plzeň";
;;Piráti Chomutov;3;"PÁ 04. 12.
(1:0, 1:1, 1:0)";1;"
HC Sparta Praha";
;;BK Mladá Boleslav;4;"PÁ 04. 12.
(1:0, 2:1, 1:0)";1;"
HC Oceláři Třinec";
;;HC Energie Karlovy Vary;1;"PÁ 04. 12.
(0:1, 0:0, 1:1)";2;"
Mountfield HK";
;;HC Dynamo Pardubice;3;"PÁ 04. 12.
(1:0, 2:0, 0:1)";1;"
HC Kometa Brno";
;"26. kolo
";;;;;;
;;HC Oceláři Třinec;1;"NE 06. 12.
(0:1, 1:3, 0:0)";4;"
HC Olomouc";
;;HC Škoda Plzeň;4;"NE 06. 12.
(0:0, 3:0, 1:0)";0;"
Piráti Chomutov";
;;HC Kometa Brno;1;"NE 06. 12.
(0:1, 0:1, 1:0)";2;"
PSG Zlín";
;;Bílí Tygři Liberec;7;"NE 06. 12.
(2:0, 3:0, 2:1)";1;"
HC Energie Karlovy Vary";
;;Mountfield HK;4;"NE 06. 12.
(1:0, 2:0, 1:1)";1;"
HC Dynamo Pardubice";
;;HC Sparta Praha;4;"NE 06. 12.
(1:0, 1:1, 2:2)";3;"
BK Mladá Boleslav";
;;HC VERVA Litvínov;3;"NE 06. 12.
(2:0, 0:1, 1:0)";1;"
HC VÍTKOVICE STEEL";
;"27. kolo
";;;;;;
;;HC Oceláři Třinec;4;"PÁ 11. 12.
(1:0, 1:3, 1:0 - 0:0 - 1:0)";3;"S
Piráti Chomutov";
;;HC Škoda Plzeň;1;"PÁ 11. 12.
(1:1, 0:0, 0:2)";3;"
HC Energie Karlovy Vary";
;;BK Mladá Boleslav;2;"PÁ 11. 12.
(0:2, 1:1, 1:1)";4;"
HC Dynamo Pardubice";
;;HC VERVA Litvínov;3;"PÁ 11. 12.
(1:0, 1:1, 0:1 - 1:0)";2;"
PSG Zlín";
;;Mountfield HK;5;"PÁ 11. 12.
(2:0, 2:2, 1:0)";2;"
HC VÍTKOVICE STEEL";
;;HC Olomouc;5;"PÁ 11. 12.
(2:0, 1:0, 2:1)";1;"
HC Sparta Praha";
;;HC Kometa Brno;1;"PÁ 11. 12.
(0:0, 1:1, 0:0 - 0:0 - 0:1)";2;"S
Bílí Tygři Liberec";
;"28. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;0;"NE 13. 12.
(0:0, 0:1, 0:0)";1;"
HC Kometa Brno";
;;PSG Zlín;4;"NE 13. 12.
(2:0, 2:0, 0:0)";0;"
HC Sparta Praha";
;;HC Energie Karlovy Vary;2;"NE 13. 12.
(1:0, 0:0, 1:0)";0;"
HC Oceláři Třinec";
;;Bílí Tygři Liberec;1;"NE 13. 12.
(0:0, 1:0, 0:0)";0;"
HC VERVA Litvínov";
;;HC Dynamo Pardubice;2;"NE 13. 12.
(1:0, 0:3, 1:1)";4;"
HC Škoda Plzeň";
;;Piráti Chomutov;7;"NE 13. 12.
(2:2, 2:1, 3:3)";6;"
BK Mladá Boleslav";
;;HC Olomouc;1;"NE 13. 12.
(1:0, 0:0, 0:2)";2;"
Mountfield HK";
;"29. kolo
";;;;;;
;;HC Oceláři Třinec;3;"ÚT 22. 12.
(1:0, 0:1, 2:0)";1;"
PSG Zlín";
;;HC Škoda Plzeň;1;"ÚT 22. 12.
(0:0, 0:1, 1:2)";3;"
Bílí Tygři Liberec";
;;Mountfield HK;5;"ÚT 22. 12.
(2:1, 1:0, 2:0)";1;"
HC VERVA Litvínov";
;;HC Kometa Brno;3;"ÚT 22. 12.
(1:0, 1:2, 1:1 - 0:0 - 0:1)";4;"S
HC Energie Karlovy Vary";
;;HC Sparta Praha;5;"ST 23. 12.
(2:0, 1:0, 2:0)";0;"
HC VÍTKOVICE STEEL";
;;Piráti Chomutov;4;"ST 23. 12.
(1:1, 2:0, 1:0)";1;"
HC Dynamo Pardubice";
;;BK Mladá Boleslav;3;"ST 23. 12.
(1:0, 2:0, 0:0)";0;"
HC Olomouc";
;"30. kolo
";;;;;;
;;HC VÍTKOVICE STEEL;5;"SO 26. 12.
(3:0, 2:1, 0:3)";4;"
Piráti Chomutov";
;;HC Energie Karlovy Vary;3;"SO 26. 12.
(0:0, 1:3, 2:2)";5;"
HC Sparta Praha";
;;Bílí Tygři Liberec;5;"SO 26. 12.
(0:1, 3:1, 2:2)";4;"
Mountfield HK";
;;HC Dynamo Pardubice;1;"SO 26. 12.
(0:1, 0:1, 1:1)";3;"
HC Oceláři Třinec";
;;HC Olomouc;1;"SO 26. 12.
(0:0, 0:1, 1:2)";3;"
HC Škoda Plzeň";
;;PSG Zlín;4;"SO 26. 12.
(1:1, 2:1, 0:1 - 0:0 - 1:0)";3;"S
BK Mladá Boleslav";
;;HC VERVA Litvínov;0;"SO 26. 12.
(0:1, 0:0, 0:0)";1;"
HC Kometa Brno";
;"31. kolo
";;;;;;
;;HC Oceláři Třinec;3;"PO 28. 12.
(1:0, 1:0, 1:0)";0;"
HC VÍTKOVICE STEEL";
;;HC Škoda Plzeň;2;"PO 28. 12.
(1:0, 0:0, 1:1)";1;"
HC VERVA Litvínov";
;;BK Mladá Boleslav;3;"PO 28. 12.
(1:3, 1:2, 1:0)";5;"
Bílí Tygři Liberec";
;;Piráti Chomutov;1;"PO 28. 12.
(1:2, 0:2, 0:1)";5;"
PSG Zlín";
;;HC Sparta Praha;5;"PO 28. 12.
(1:0, 4:0, 0:2)";2;"
Mountfield HK";
;;HC Dynamo Pardubice;3;"PO 28. 12.
(0:0, 2:0, 1:0)";0;"
HC Energie Karlovy Vary";
;;HC Kometa Brno;4;"PO 28. 12.
(3:1, 0:2, 0:0 - 1:0)";3;"
HC Olomouc";
;"32. kolo
";;;;;;
;;Bílí Tygři Liberec;3;"ST 30. 12.
(1:1, 1:0, 1:0)";1;"
HC Oceláři Třinec";
;;HC VÍTKOVICE STEEL;2;"ST 30. 12.
(1:1, 1:0, 0:3)";4;"
HC Škoda Plzeň";
;;PSG Zlín;2;"ST 30. 12.
(0:0, 0:0, 2:1)";1;"
HC Dynamo Pardubice";
;;HC VERVA Litvínov;3;"ST 30. 12.
(1:1, 0:0, 2:0)";1;"
HC Sparta Praha";
;;Mountfield HK;2;"ST 30. 12.
(1:0, 0:0, 1:1)";1;"
HC Kometa Brno";
